GEOID,NAME,est2019,est2021,shift,mn
0680812,"Turlock city, California",26.6,24.8,-1.8,25.7
1902305,"Ankeny city, Iowa",20.9,19.1,-1.8,20
2038900,"Lawrence city, Kansas",19.5,17.7,-1.8,18.6
2419125,"Columbia CDP, Maryland",29.7,27.9,-1.8,28.8
2915670,"Columbia city, Missouri",17.9,16.1,-1.8,17
4164900,"Salem city, Oregon",24.5,22.7,-1.8,23.6
4848804,"Missouri City city, Texas",33,31.2,-1.8,32.1
5335415,"Kent city, Washington",31.1,29.3,-1.8,30.2
5370000,"Tacoma city, Washington",29.7,27.9,-1.8,28.8
0535710,"Jonesboro city, Arkansas",19.3,17.4,-1.9,18.4
0637692,"Jurupa Valley city, California",31.7,29.8,-1.9,30.8
0644574,"Lynwood city, California",31.6,29.7,-1.9,30.6
0654652,"Oxnard city, California",26.3,24.4,-1.9,25.4
0804000,"Aurora city, Colorado",30.4,28.5,-1.9,29.4
1207300,"Boca Raton city, Florida",23.6,21.7,-1.9,22.6
1217935,"Doral city, Florida",25.1,23.2,-1.9,24.1
1245000,"Miami city, Florida",28.3,26.4,-1.9,27.4
2836000,"Jackson city, Mississippi",21.1,19.2,-1.9,20.1
3651000,"New York city, New York",41.7,39.8,-1.9,40.8
3684000,"Yonkers city, New York",34.8,32.9,-1.9,33.8
5531000,"Green Bay city, Wisconsin",19.2,17.3,-1.9,18.2
7210334,"Caguas zona urbana, Puerto Rico",32.3,30.4,-1.9,31.3
0524550,"Fort Smith city, Arkansas",17.9,15.9,-2,16.9
0608954,"Burbank city, California",28.8,26.8,-2,27.8
0668196,"San Marcos city, California",27.2,25.2,-2,26.2
1810342,"Carmel city, Indiana",25.4,23.4,-2,24.4
2239475,"Kenner city, Louisiana",27.4,25.4,-2,26.4
2646000,"Lansing city, Michigan",20.1,18.1,-2,19.1
2707966,"Brooklyn Park city, Minnesota",24.2,22.2,-2,23.2
2743000,"Minneapolis city, Minnesota",24.1,22.1,-2,23.1
3251800,"North Las Vegas city, Nevada",28.2,26.2,-2,27.2
3254600,"Paradise CDP, Nevada",23.3,21.3,-2,22.3
3712000,"Charlotte city, North Carolina",26.2,24.2,-2,25.2
4805000,"Austin city, Texas",25.3,23.3,-2,24.3
4830464,"Grand Prairie city, Texas",29.4,27.4,-2,28.4
7214290,"Carolina zona urbana, Puerto Rico",28.8,26.8,-2,27.8
0649270,"Moreno Valley city, California",36.2,34.1,-2.1,35.2
1723074,"Elgin city, Illinois",29.3,27.2,-2.1,28.2
2250115,"Metairie CDP, Louisiana",22.5,20.4,-2.1,21.4
3456550,"Passaic city, New Jersey",26.5,24.4,-2.1,25.4
3915000,"Cincinnati city, Ohio",23.7,21.6,-2.1,22.6
4134100,"Hillsboro city, Oregon",23.3,21.2,-2.1,22.2
4815976,"College Station city, Texas",17.7,15.6,-2.1,16.6
4835000,"Houston city, Texas",28.5,26.4,-2.1,27.4
5363000,"Seattle city, Washington",28.4,26.3,-2.1,27.4
1077580,"Wilmington city, Delaware",23.9,21.7,-2.2,22.8
2148006,"Louisville/Jefferson County metro government (balance), Kentucky",23,20.8,-2.2,21.9
2582000,"Worcester city, Massachusetts",26.1,23.9,-2.2,25
0404720,"Avondale city, Arizona",28.8,26.5,-2.3,27.6
0682590,"Victorville city, California",41.6,39.3,-2.3,40.5
1238250,"Lakeland city, Florida",24.7,22.4,-2.3,23.5
1253000,"Orlando city, Florida",28.1,25.8,-2.3,27
1256825,"Pine Hills CDP, Florida",30.7,28.4,-2.3,29.5
2676460,"Sterling Heights city, Michigan",27.3,25,-2.3,26.1
3268400,"Sparks city, Nevada",24.9,22.6,-2.3,23.8
3345140,"Manchester city, New Hampshire",23.9,21.6,-2.3,22.8
3474630,"Union City city, New Jersey",34.5,32.2,-2.3,33.4
3728000,"Greensboro city, North Carolina",22.5,20.2,-2.3,21.4
3731400,"High Point city, North Carolina",23.2,20.9,-2.3,22
4847892,"Mesquite city, Texas",33.7,31.4,-2.3,32.5
4864472,"San Angelo city, Texas",18.1,15.8,-2.3,17
5322640,"Everett city, Washington",27.6,25.3,-2.3,26.5
0613392,"Chula Vista city, California",29.1,26.7,-2.4,27.9
0812815,"Centennial city, Colorado",26.7,24.3,-2.4,25.5
0816000,"Colorado Springs city, Colorado",23.4,21,-2.4,22.2
4856000,"Pasadena city, Texas",27.5,25.1,-2.4,26.3
4865000,"San Antonio city, Texas",25.5,23.1,-2.4,24.3
5156000,"Newport News city, Virginia",23.2,20.8,-2.4,22
5367000,"Spokane city, Washington",22.2,19.8,-2.4,21
0602000,"Anaheim city, California",30.3,27.8,-2.5,29
0649670,"Mountain View city, California",26.2,23.7,-2.5,25
2629000,"Flint city, Michigan",22.4,19.9,-2.5,21.1
2634000,"Grand Rapids city, Michigan",20,17.5,-2.5,18.8
2740166,"Maple Grove city, Minnesota",26.6,24.1,-2.5,25.4
4105350,"Beaverton city, Oregon",24.8,22.3,-2.5,23.6
4474300,"Warwick city, Rhode Island",25.6,23.1,-2.5,24.4
4827684,"Frisco city, Texas",28.8,26.3,-2.5,27.6
5374060,"Vancouver city, Washington",25.4,22.9,-2.5,24.1
0455000,"Phoenix city, Arizona",27.1,24.5,-2.6,25.8
0641992,"Livermore city, California",31,28.4,-2.6,29.7
1268350,"Spring Hill CDP, Florida",30,27.4,-2.6,28.7
1369000,"Savannah city, Georgia",21.5,18.9,-2.6,20.2
2108902,"Bowling Green city, Kentucky",20,17.4,-2.6,18.7
2507000,"Boston city, Massachusetts",31.2,28.6,-2.6,29.9
2534550,"Lawrence city, Massachusetts",22.9,20.3,-2.6,21.6
2669035,"Rochester Hills city, Michigan",27.1,24.5,-2.6,25.8
2954074,"O'Fallon city, Missouri",25.8,23.2,-2.6,24.5
3474000,"Trenton city, New Jersey",26.6,24,-2.6,25.3
3807200,"Bismarck city, North Dakota",15.3,12.7,-2.6,14
3961000,"Parma city, Ohio",24.6,22,-2.6,23.3
5584250,"Waukesha city, Wisconsin",22.7,20.1,-2.6,21.4
1254000,"Palm Bay city, Florida",29.2,26.5,-2.7,27.9
1304000,"Atlanta city, Georgia",27.8,25.1,-2.7,26.5
4159000,"Portland city, Oregon",26.3,23.6,-2.7,25
4801924,"Allen city, Texas",28.2,25.5,-2.7,26.9
5539225,"Kenosha city, Wisconsin",25.2,22.5,-2.7,23.9
0611390,"Carmichael CDP, California",27.1,24.3,-2.8,25.7
0622804,"Escondido city, California",29.6,26.8,-2.8,28.2
0820000,"Denver city, Colorado",27.1,24.3,-2.8,25.7
2472450,"Silver Spring CDP, Maryland",34.3,31.5,-2.8,32.9
3755000,"Raleigh city, North Carolina",24.4,21.6,-2.8,23
5305210,"Bellevue city, Washington",24.9,22.1,-2.8,23.5
1270675,"Tamarac city, Florida",30.9,28,-2.9,29.4
1652120,"Meridian city, Idaho",24.2,21.3,-2.9,22.8
4652980,"Rapid City city, South Dakota",17,14.1,-2.9,15.6
5357745,"Renton city, Washington",32.8,29.9,-2.9,31.3
1272145,"Town 'n' Country CDP, Florida",29.4,26.4,-3,27.9
5147672,"Lynchburg city, Virginia",17.6,14.6,-3,16.1
0645022,"Madera city, California",29.3,26.2,-3.1,27.8
0666000,"San Diego city, California",25.5,22.4,-3.1,24
0678120,"Temecula city, California",37.9,34.8,-3.1,36.3
1714000,"Chicago city, Illinois",35.3,32.2,-3.1,33.8
2052575,"Olathe city, Kansas",22.9,19.8,-3.1,21.4
2524960,"Framingham city, Massachusetts",31.1,28,-3.1,29.6
2562535,"Somerville city, Massachusetts",32.9,29.8,-3.1,31.4
3350260,"Nashua city, New Hampshire",26.5,23.4,-3.1,25
4872656,"The Woodlands CDP, Texas",29.5,26.4,-3.1,28
5566000,"Racine city, Wisconsin",24.3,21.2,-3.1,22.8
0446000,"Mesa city, Arizona",27,23.8,-3.2,25.4
0617918,"Daly City city, California",31.3,28.1,-3.2,29.7
0644000,"Los Angeles city, California",33,29.8,-3.2,31.4
0648256,"Mission Viejo city, California",29.4,26.2,-3.2,27.8
0678582,"Thousand Oaks city, California",26.7,23.5,-3.2,25.1
0681344,"Upland city, California",30.7,27.5,-3.2,29.1
2686000,"Westland city, Michigan",27.2,24,-3.2,25.6
2706616,"Bloomington city, Minnesota",22.6,19.4,-3.2,21
2717288,"Eagan city, Minnesota",23.3,20.1,-3.2,21.7
4260000,"Philadelphia city, Pennsylvania",34.3,31.1,-3.2,32.7
4826232,"Flower Mound town, Texas",27.4,24.2,-3.2,25.8
0618100,"Davis city, California",23.1,19.8,-3.3,21.5
0628000,"Fullerton city, California",32.2,28.9,-3.3,30.6
0669000,"Santa Ana city, California",27,23.7,-3.3,25.4
0670000,"Santa Monica city, California",26.6,23.3,-3.3,25
0812415,"Castle Rock town, Colorado",30.6,27.3,-3.3,29
2627440,"Farmington Hills city, Michigan",26.6,23.3,-3.3,25
2680700,"Troy city, Michigan",26.6,23.3,-3.3,25
2758000,"St. Paul city, Minnesota",24.3,21,-3.3,22.6
3050200,"Missoula city, Montana",18.3,15,-3.3,16.6
4261000,"Pittsburgh city, Pennsylvania",25.6,22.3,-3.3,24
0427820,"Glendale city, Arizona",31.5,28.1,-3.4,29.8
0619766,"Downey city, California",32.1,28.7,-3.4,30.4
0803455,"Arvada city, Colorado",29,25.6,-3.4,27.3
1150000,"Washington city, District of Columbia",31.7,28.3,-3.4,30
1236950,"Kissimmee city, Florida",34.3,30.9,-3.4,32.6
2965000,"St. Louis city, Missouri",24.2,20.8,-3.4,22.5
3650617,"New Rochelle city, New York",34.5,31.1,-3.4,32.8
4105800,"Bend city, Oregon",17.4,14,-3.4,15.7
0673080,"South Gate city, California",34.2,30.7,-3.5,32.5
0883835,"Westminster city, Colorado",28.3,24.8,-3.5,26.6
1276600,"West Palm Beach city, Florida",25.4,21.9,-3.5,23.6
1380508,"Warner Robins city, Georgia",24.3,20.8,-3.5,22.6
2426000,"Ellicott City CDP, Maryland",30.7,27.2,-3.5,29
0428380,"Goodyear city, Arizona",31.5,27.9,-3.6,29.7
0652526,"Norwalk city, California",31.6,28,-3.6,29.8
1368516,"Sandy Springs city, Georgia",27.8,24.2,-3.6,26
1702154,"Arlington Heights village, Illinois",29.3,25.7,-3.6,27.5
3231900,"Henderson city, Nevada",26.5,22.9,-3.6,24.7
3413690,"Clifton city, New Jersey",30.6,27,-3.6,28.8
5303180,"Auburn city, Washington",34.2,30.6,-3.6,32.4
5357535,"Redmond city, Washington",25.7,22.1,-3.6,23.9
0412000,"Chandler city, Arizona",26.1,22.4,-3.7,24.2
0636448,"Indio city, California",27.1,23.4,-3.7,25.2
0643000,"Long Beach city, California",32,28.3,-3.7,30.1
0656000,"Pasadena city, California",28.7,24.9,-3.8,26.8
0662364,"Rocklin city, California",28.4,24.6,-3.8,26.5
0684200,"West Covina city, California",35.2,31.4,-3.8,33.3
1232000,"Hollywood city, Florida",32.3,28.5,-3.8,30.4
1260950,"Riverview CDP, Florida",36.4,32.6,-3.8,34.5
1367284,"Roswell city, Georgia",30.3,26.5,-3.8,28.4
2545000,"New Bedford city, Massachusetts",27.7,23.9,-3.8,25.8
3436000,"Jersey City city, New Jersey",37.8,34,-3.8,35.9
0636546,"Inglewood city, California",33.2,29.3,-3.9,31.2
0639496,"Lake Forest city, California",26.7,22.8,-3.9,24.8
0684550,"Westminster city, California",28.9,25,-3.9,27
0955990,"Norwalk city, Connecticut",29,25.1,-3.9,27
3457000,"Paterson city, New Jersey",25.2,21.3,-3.9,23.2
7276770,"San Juan zona urbana, Puerto Rico",27,23.1,-3.9,25
0653980,"Orange city, California",27.6,23.6,-4,25.6
0677000,"Sunnyvale city, California",23.8,19.8,-4,21.8
1372122,"South Fulton city, Georgia",36.7,32.7,-4,34.7
2941348,"Lee's Summit city, Missouri",27.2,23.2,-4,25.2
4829336,"Georgetown city, Texas",27.3,23.3,-4,25.3
0614218,"Clovis city, California",26.3,22.2,-4.1,24.2
0636000,"Huntington Beach city, California",30.8,26.7,-4.1,28.8
0669088,"Santa Clarita city, California",37.3,33.2,-4.1,35.2
0809280,"Broomfield city, Colorado",28.8,24.7,-4.1,26.8
0843000,"Lakewood city, Colorado",29.7,25.6,-4.1,27.6
1245025,"Miami Beach city, Florida",27.5,23.4,-4.1,25.4
1738570,"Joliet city, Illinois",31.6,27.5,-4.1,29.6
3451000,"Newark city, New Jersey",34.9,30.8,-4.1,32.9
0662000,"Riverside city, California",33.9,29.7,-4.2,31.8
0680238,"Tracy city, California",46,41.8,-4.2,43.9
1236100,"Kendall CDP, Florida",33.3,29.1,-4.2,31.2
1571550,"Urban Honolulu CDP, Hawaii",24.8,20.6,-4.2,22.7
2404000,"Baltimore city, Maryland",31.5,27.3,-4.2,29.4
5121088,"Dale City CDP, Virginia",40.1,35.9,-4.2,38
0645484,"Manteca city, California",42,37.7,-4.3,39.9
2751730,"Plymouth city, Minnesota",24.8,20.5,-4.3,22.6
4982950,"West Jordan city, Utah",27,22.7,-4.3,24.9
0427400,"Gilbert town, Arizona",28.8,24.4,-4.4,26.6
0600884,"Alhambra city, California",32.5,28.1,-4.4,30.3
0604982,"Bellflower city, California",32.6,28.2,-4.4,30.4
0622230,"El Monte city, California",31.8,27.4,-4.4,29.6
0623182,"Fairfield city, California",34.4,30,-4.4,32.2
1255775,"Pembroke Pines city, Florida",31.5,27.1,-4.4,29.3
1757225,"Palatine village, Illinois",30.3,25.9,-4.4,28.1
3912000,"Canton city, Ohio",21.4,17,-4.4,19.2
0616000,"Concord city, California",35.1,30.6,-4.5,32.9
1707133,"Bolingbrook village, Illinois",31,26.5,-4.5,28.8
2241155,"Lake Charles city, Louisiana",22.4,17.9,-4.5,20.1
4846452,"Mansfield city, Texas",30.9,26.4,-4.5,28.6
0669084,"Santa Clara city, California",25.3,20.7,-4.6,23
0836410,"Highlands Ranch CDP, Colorado",26.9,22.3,-4.6,24.6
1217200,"Deltona city, Florida",36.3,31.7,-4.6,34
2509000,"Brockton city, Massachusetts",33.9,29.3,-4.6,31.6
3714100,"Concord city, North Carolina",29.8,25.2,-4.6,27.5
4870808,"Sugar Land city, Texas",32.3,27.7,-4.6,30
0632548,"Hawthorne city, California",30.6,25.9,-4.7,28.2
3419390,"East Orange city, New Jersey",34.9,30.2,-4.7,32.5
4857176,"Pflugerville city, Texas",28.9,24.2,-4.7,26.5
3403580,"Bayonne city, New Jersey",36.4,31.6,-4.8,34
0680000,"Torrance city, California",29.9,25,-4.9,27.4
0660102,"Redwood City city, California",26.5,21.5,-5,24
3271400,"Sunrise Manor CDP, Nevada",31.8,26.8,-5,29.3
4856348,"Pearland city, Texas",35.7,30.7,-5,33.2
5323515,"Federal Way city, Washington",36.6,31.6,-5,34.1
0640130,"Lancaster city, California",33.1,28,-5.1,30.6
4822660,"Edinburg city, Texas",21.5,16.4,-5.1,19
0668252,"San Mateo city, California",30.2,25,-5.2,27.6
5343955,"Marysville city, Washington",32.4,27.2,-5.2,29.8
5365922,"South Hill CDP, Washington",37.9,32.7,-5.2,35.3
0660620,"Richmond city, California",37,31.7,-5.3,34.4
0686972,"Yuba City city, California",29.1,23.8,-5.3,26.5
1276582,"Weston city, Florida",31.6,26.3,-5.3,29
2735180,"Lakeville city, Minnesota",27,21.7,-5.3,24.4
0620802,"East Los Angeles CDP, California",32.7,27.3,-5.4,30
4857200,"Pharr city, Texas",26.3,20.9,-5.4,23.6
5335940,"Kirkland city, Washington",27.3,21.9,-5.4,24.6
0667000,"San Francisco city, California",34.7,29.2,-5.5,32
3410000,"Camden city, New Jersey",27.3,21.8,-5.5,24.6
5305280,"Bellingham city, Washington",22.2,16.7,-5.5,19.4
0603666,"Baldwin Park city, California",32,26.4,-5.6,29.2
0639892,"Lakewood city, California",31.6,26,-5.6,28.8
1257900,"Poinciana CDP, Florida",48.8,43.2,-5.6,46
4813552,"Cedar Park city, Texas",29.1,23.5,-5.6,26.3
0668084,"San Leandro city, California",35.4,29.7,-5.7,32.5
0681666,"Vallejo city, California",40,34.3,-5.7,37.1
2430325,"Frederick city, Maryland",33.8,28.1,-5.7,31
4751560,"Murfreesboro city, Tennessee",30.1,24.3,-5.8,27.2
0672016,"Simi Valley city, California",31.8,25.9,-5.9,28.9
2545560,"Newton city, Massachusetts",29.2,23.3,-5.9,26.2
0611194,"Carlsbad city, California",32,26,-6,29
0655282,"Palo Alto city, California",26.1,20.1,-6,23.1
3473110,"Toms River CDP, New Jersey",32.4,26.4,-6,29.4
0647766,"Milpitas city, California",30,23.9,-6.1,27
0653000,"Oakland city, California",34.4,28.3,-6.1,31.4
0660018,"Redondo Beach city, California",31.3,25.2,-6.1,28.2
1258350,"Port Charlotte CDP, Florida",26.8,20.7,-6.1,23.8
2537490,"Lynn city, Massachusetts",34.2,28,-6.2,31.1
0633000,"Hayward city, California",37.6,31.3,-6.3,34.5
3649121,"Mount Vernon city, New York",39,32.7,-6.3,35.9
5168000,"Roanoke city, Virginia",24.1,17.8,-6.3,21
2555745,"Quincy city, Massachusetts",36,29.6,-6.4,32.8
1232275,"Homestead city, Florida",43,36.4,-6.6,39.7
1751622,"Naperville city, Illinois",34.8,28.1,-6.7,31.4
4727740,"Franklin city, Tennessee",27,20.2,-6.8,23.6
1249675,"North Port city, Florida",33.3,26.4,-6.9,29.8
4842016,"Leander city, Texas",33,26.1,-6.9,29.6
0600562,"Alameda city, California",34.8,27.8,-7,31.3
0656700,"Perris city, California",37.3,30.3,-7,33.8
0657456,"Pittsburg city, California",41,34,-7,37.5
7206593,"Bayamón zona urbana, Puerto Rico",33.4,26.2,-7.2,29.8
0668000,"San Jose city, California",31.7,24.4,-7.3,28
1342425,"Johns Creek city, Georgia",35.3,27.8,-7.5,31.5
1703012,"Aurora city, Illinois",32.7,25.2,-7.5,29
5103000,"Arlington CDP, Virginia",29.7,22.2,-7.5,26
5114440,"Centreville CDP, Virginia",33.7,26.2,-7.5,30
0622020,"Elk Grove city, California",36.1,28.5,-7.6,32.3
5361115,"Sammamish city, Washington",34.2,26.6,-7.6,30.4
0616350,"Corona city, California",38,30.3,-7.7,34.1
5101000,"Alexandria city, Virginia",33.5,25.8,-7.7,29.6
2432025,"Germantown CDP, Maryland",38.2,30.4,-7.8,34.3
0602252,"Antioch city, California",47.6,39.7,-7.9,43.7
0639486,"Lake Elsinore city, California",48.5,40.6,-7.9,44.5
0685292,"Whittier city, California",37.8,29.8,-8,33.8
1768003,"Schaumburg village, Illinois",31.5,23.5,-8,27.5
1724582,"Evanston city, Illinois",32.4,24,-8.4,28.2
0655156,"Palmdale city, California",44.4,35.9,-8.5,40.1
0626000,"Fremont city, California",36.4,27.6,-8.8,32
2481175,"Waldorf CDP, Maryland",47.3,38.2,-9.1,42.8
2431175,"Gaithersburg city, Maryland",33,23.8,-9.2,28.4
2432650,"Glen Burnie CDP, Maryland",33.1,23.6,-9.5,28.4
0633182,"Hemet city, California",41.1,31.2,-9.9,36.1
0606000,"Berkeley city, California",34.3,24.1,-10.2,29.2
0668378,"San Ramon city, California",42,31.6,-10.4,36.8
0657792,"Pleasanton city, California",36.1,25.5,-10.6,30.8
0681204,"Union City city, California",39.2,28.6,-10.6,33.9
0683346,"Walnut Creek city, California",38.2,26.5,-11.7,32.4
1301696,"Alpharetta city, Georgia",34.1,22,-12.1,28
0550450,"North Little Rock city, Arkansas",18.6,,,
0624477,"Florence-Graham CDP, California",37.6,,,
0639248,"Laguna Niguel city, California",27.2,,,
0665084,"San Clemente city, California",29.6,,,
0669112,"Santa Cruz city, California",22.3,,,
0673262,"South San Francisco city, California",30.5,,,
1224562,"Fountainebleau CDP, Florida",29.9,,,
1235875,"Jupiter town, Florida",23.1,,,
1271569,"The Hammocks CDP, Florida",36,,,
1271625,"The Villages CDP, Florida",,,,
1275812,"Wellington village, Florida",28.9,,,
1827000,"Gary city, Indiana",29.2,,,
1851876,"Muncie city, Indiana",19.7,,,
2208920,"Bossier City city, Louisiana",19.3,,,
3608026,"Brentwood CDP, New York",29.5,,,
3988000,"Youngstown city, Ohio",22.8,,,
4863572,"Rowlett city, Texas",33.4,,,
